mmsi,shiptype,valid_from,valid_to,shipname,geartype,flag,callsign,imo,tonnage,length,national_id,rfmo_id,rank_name,notes,clav_VRMFID,clav_DateUpdated,clav_TUVI,clav_FlagCode,clav_ParentVesselTypeCode,clav_ParentVesselType,clav_VesselTypeCode,clav_GearTypeCode,clav_LengthTypeCode,clav_TonnageTypeCode,clav_PreviousName,clav_PreviousNameDate,clav_PreviousFlagCode,clav_PreviousFlagCodeDate,clav_AutStatus,clav_DateAutStart,clav_DateAutEnd,clav_DateAutTerm,clav_AutTermCode,clav_AutTermDescription,clav_AutTermReason,clav_URLID
431600120,Tuna longliners,6/16/2015 19:55:07,12/30/2015 13:58:22,HOEI MARU NO.1,Drifting longlines,Japan,JM6051,,80,24.5,OT2-3608,1692,WCPFC,,20500,7/31/2014 17:58:53,12539,JPN,LO,Liners,LLT,LLD,RGL,GRT,,,,,Authorized,7/30/2012 15:00:00,7/29/2017 15:00:00,,,,,
440813000,Tuna longliners,1/5/2012 23:32:27,6/13/2015 11:41:06,NO.101 DAE YOUNG,Gear not known or not specified,"Korea, Republic of",HLVI,,448.83,49.68,9601002-6260009,894,WCPFC,,24937,5/31/2014 19:13:23,217,KOR,LO,Liners,LLT,UNK,LOA,GRT,NO.102 SOJIN,2/15/2011 8:00:00,,,Authorized,,,,,,,
224119000,Longliners,6/4/2012 21:34:44,5/13/2014 11:05:52,Nuevo Nemesia,Longlines (not specified),Spain,EAVD,,212,38.6,VI-5-5-00,8867,IATTC,,31713,8/24/2005 2:00:00,8063,ESP,LO,Liners,LL,LL,LOA,GT,,,,,Unauthorized,,8/24/2005 2:00:00,8/24/2005 2:00:00,2,Expiration of authorization,Explicit CLAV 'DROP' request,
224026280,Unknown,10/17/2012 5:01:53,12/17/2015 10:12:19,MADRE RAFAELA,Hooks and lines (not specified),Spain,EA3108,,96.71,20.6,ESP000023576,ATEU0ESP00736,ICCAT,,34005,12/4/2014 11:27:55,28632,ESP,UNK,Unknown,UNK,LX,LOA,GT,,,,,Expired,5/14/2014 15:00:00,12/30/2014 15:00:00,,,,,4233
529354000,Fish carriers,1/3/2012 12:04:32,12/31/2015 11:22:08,HUA JIAN 107,,Kiribati,T3XR,,4238,107.96,K-13861161,10002,WCPFC,,41061,9/23/2015 16:31:53,35676,KIR,FO,Fish carriers,FO,,LOA,GRT,JARIKABA,5/29/2014 15:00:00,ANT,5/29/2014 15:00:00,Authorized,9/24/2015 8:00:00,9/4/2016 8:00:00,,,,,
412209234,Longliners,8/21/2014 7:23:55,12/31/2015 21:15:00,JIN XIANG 7,,China,BZYB7,9766279,271,33.9,(LIAO) CHUANDENG (JI) (2014) FT-200108,11136,WCPFC,,41993,8/12/2015 1:15:22,36608,CHN,LO,Liners,LL,,LBP,GT,,,,,Authorized,9/21/2014 8:00:00,3/30/2017 8:00:00,,,,,
224377000,Longliners,1/9/2012 18:20:50,12/30/2015 12:05:26,LOMBA MAURI,Longlines (not specified),Spain,EA2480,,,28,VI-5-5-96,8815,IATTC,,6150,2/21/2011 3:00:00,1467,ESP,LO,Liners,LL,LL,LOA,,,,,,Authorized,,,,,,,
605066265,Purse seiners,2/17/2015 11:24:05,12/31/2015 19:46:31,Beni Louma,Purse seines,Algeria,7T6265,,143,25,OR 5154,AT000DZA00015,ICCAT,,6755,5/13/2015 8:13:21,5936,DZA,SO,Seiners,SP,PS,LOA,GT,BENI LOUMA,2/20/2014 9:13:44,DZA,4/14/2009 15:00:00,Expired,5/25/2015 17:00:00,6/23/2015 17:00:00,,,,,7110
416379000,Longliners,5/18/2015 6:36:44,12/31/2015 2:07:35,FENG YA NO.11,Longlines (not specified),"Taiwan, Republic of China",BI2566,8947266,531,55.9,CT7-0566,AT000TAI00038,ICCAT,,8056,9/11/2015 6:22:39,6725,TWN,LO,Liners,LL,LL,LOA,GRT,,,,,Authorized,12/31/2014 18:00:00,12/30/2015 18:00:00,,,,,2791
271072349,Trollers,11/20/2012 12:20:02,12/31/2015 22:15:09,KIYAK KARDE��LER- 1,Bottom trawls,Turkey,TC7231,,98.66,26,TUR001451547,AT000TUR00264,ICCAT,,8497,12/16/2014 9:21:50,7121,TUR,LO,Liners,LT,TB,LOA,GT,K��yak KardeSler-1,3/22/2013 6:22:00,,,Expired,2/16/1993 15:00:00,8/28/2015 15:00:00,,,,,2418
271072594,Purse seiners,1/23/2013 14:00:36,12/31/2015 20:26:14,ENG��NLER-1,Purse seines,Turkey,TC9843,,80.88,21.85,TUR001444746,AT000TUR00599,ICCAT,,8734,4/9/2015 10:57:43,7358,TUR,SO,Seiners,SP,PS,LOA,GRT,ENG?NLER-1,6/1/2011 17:00:00,,,Unauthorized,8/31/2012 17:00:00,12/12/2014 18:00:00,4/9/2015 10:57:43,2,Expiration of authorization,Explicit CLAV 'DROP' request,8638
247130630,Non-fishing vessels nei,5/5/2014 10:14:22,12/25/2015 23:12:37,ANGELA ARCELLA,Purse seines,Italy,IRDX,,184,40.56,ITA000026582,ATEU0ITA00639,ICCAT,,11056,6/17/2015 8:06:50,9015,ITA,VOX,Non-fishing vessels nei,VOX,PS,LOA,GT,ASSUNTA MADRE,12/31/2006 18:00:00,,,Authorized,12/31/2006 18:00:00,12/30/2015 18:00:00,,,,,788
416002123,Tuna longliners,1/8/2013 16:31:03,12/26/2015 0:47:25,CHIA CHUEN NO.8,Gear not known or not specified,"Taiwan, Republic of China",BK6298,,36.35,19.4,CT3-4298,2578,WCPFC,,21313,10/31/2015 5:45:18,13118,TWN,LO,Liners,LLT,UNK,LOA,GT,,,,,Authorized,9/23/2013 8:00:00,9/22/2018 8:00:00,,,,,
412433510,Tuna purse seiners,8/30/2012 0:20:17,8/10/2015 8:08:19,FONG SEONG NO.779,Purse seines,"Taiwan, Republic of China",BEBT,9035254,1735,78.25,CT8-0065,4027,WCPFC,,22798,9/1/2015 20:52:04,14364,TWN,SO,Seiners,SPT,PS,LOA,GT,,,,,Authorized,8/23/2015 8:00:00,8/22/2019 8:00:00,,,,,
576274000,Fish carriers,1/5/2012 13:26:05,4/10/2013 13:35:15,New Satsuki,,Vanuatu,YJVZ8,,1888,85.07,1899,14330,IATTC,,30921,8/10/2012 2:00:00,23984,VUT,FO,Fish carriers,FO,,LOA,GT,,,PAN,4/23/2010 15:00:00,Unauthorized,,8/10/2012 2:00:00,8/10/2012 2:00:00,2,Expiration of authorization,Explicit CLAV 'DROP' request,
431802000,Longliners,1/1/2012 9:11:26,12/31/2015 23:45:48,Shoshin Maru No. 80,Longlines (not specified),Japan,JQJP,,379,49.39,AM1-683,5523,IATTC,,5043,8/29/2014 14:13:00,1149,JPN,LO,Liners,LL,LL,LOA,GT,SHOSHIN MARU NO. 80,2/21/2011 3:00:00,,,Authorized,,,,,,,
617045000,Purse seiners,11/19/2012 12:00:27,12/22/2015 13:52:02,MONTECELO,Purse seines,Cape Verde,D4EZ,7409152,1931,76.7,3171-P,AT000CPV00012,ICCAT,,6726,7/1/2015 4:25:28,6019,CPV,SO,Seiners,SP,PS,LOA,GRT,Montecelo,8/22/2014 4:45:19,,,Authorized,12/31/2014 18:00:00,12/30/2015 18:00:00,,,,,3453
237168000,Trawlers,10/18/2012 5:01:52,12/21/2015 18:39:02,KAPETAN GIANNOS,Bottom trawls,Greece,SW9281,,59.66,26.65,GRC000021499,ATEU0GRC00043,ICCAT,,10532,1/22/2013 18:00:00,8514,GRC,TO,Trawlers,TO,TB,LOA,GRT,,,,,Authorized,12/31/2005 18:00:00,12/30/2015 18:00:00,,,,,1225
247142450,Non-fishing vessels nei,10/19/2012 7:01:16,11/13/2015 23:28:36,FLAVIA G.,Bottom trawls,Italy,IPUW,,251,37.99,ITA000001033,ATEU0ITA00832,ICCAT,,11119,3/23/2015 6:24:54,19943,ITA,VOX,Non-fishing vessels nei,VOX,TB,LOA,GT,,,,,Authorized,12/31/2014 18:00:00,12/30/2015 18:00:00,,,,,8786
431698000,Pole and Line vessels,5/13/2015 2:04:14,12/31/2015 12:19:20,KIYO MARU NO.28,Handline and pole-lines (hand operated),Japan,JMZW,,385,47.71,MG1-1638,237,WCPFC,,21124,2/1/2015 23:58:41,605,JPN,LO,Liners,LP,LHP,RGL,GRT,,,,,Authorized,1/29/2015 8:00:00,7/30/2017 8:00:00,,,,,
440382000,Longliners,1/1/2012 5:58:07,1/12/2015 5:21:42,Dae Hwa No. 307,Longlines (not specified),"Korea, Republic of",6NAF,9005314,442,49.5,9512422-6260000,12153,IATTC,,2450,6/10/2015 2:00:00,200,KOR,LO,Liners,LL,LL,LOA,GT,DAE HWA NO. 307,2/21/2011 3:00:00,,,Unauthorized,,6/10/2015 2:00:00,6/10/2015 2:00:00,2,Expiration of authorization,Explicit CLAV 'DROP' request,
432602000,Fishery research vessels,8/24/2012 5:36:10,12/7/2015 17:38:51,CHIBA MARU,Gear not known or not specified,Japan,JPVV,,317,42.2,CB1-8,852,WCPFC,,24682,5/27/2015 21:23:27,15579,JPN,ZO,Fishery research vessels,ZO,UNK,RGL,GRT,,,,,Unauthorized,12/31/2009 8:00:00,1/30/2010 8:00:00,5/27/2015 21:23:27,2,Expiration of authorization,Explicit CLAV 'DROP' request,
273356760,Longliners,9/6/2012 20:31:58,12/31/2015 1:53:44,HATSUKARI,,Vanuatu,YJQL2,,2712,94,1957,4760,CCSBT,,28013,8/9/2012 9:00:00,23988,VUT,LO,Liners,LL,,LOA,GRT,,,,,Unauthorized,3/30/2012 15:00:00,8/8/2012 15:00:00,8/9/2012 9:00:00,2,Expiration of authorization,Explicit CLAV 'DROP' request,11879
224018440,Longliners,2/28/2012 9:48:15,12/31/2015 11:04:15,Cali Uno,Longlines (not specified),Spain,EBSR,,143,31,VILL-1-2-01,8769,IATTC,,32025,8/24/2005 2:00:00,7950,ESP,LO,Liners,LL,LL,LOA,GT,,,,,Unauthorized,,8/24/2005 2:00:00,8/24/2005 2:00:00,2,Expiration of authorization,Explicit CLAV 'DROP' request,
224071740,Unknown,6/11/2012 9:21:00,12/31/2015 23:54:40,VIRGEN DEL FARO,Hooks and lines (not specified),Spain,ECAV,9264829,235,30.5,ESP000025484,ATEU0ESP03580,ICCAT,,34127,12/5/2014 11:28:36,28754,ESP,UNK,Unknown,UNK,LX,LOA,GT,,,,,Authorized,5/14/2014 17:00:00,12/30/2015 18:00:00,,,,,25305
416003451,Longliners,3/31/2014 19:39:20,12/31/2015 22:04:49,An Wone Fa No. 3,Longlines (not specified),"Taiwan, Republic of China",BJ4913,,98,29.88,CT4-2913,14372,IATTC,,3779,3/20/2014 2:00:00,1251,TWN,LO,Liners,LL,LL,LOA,GT,Shuenn Jiann Der No. 1899,3/19/2014 2:00:00,,,Authorized,,,,,,,
431700060,Longliners,9/5/2014 3:46:45,12/30/2015 22:33:08,FUKUTOKU MARU No. 37,Longlines (not specified),Japan,JQPE,9066904,379,49.2,MG1-1880,AT000JPN00226,ICCAT,,6982,7/3/2014 5:48:46,371,JPN,LO,Liners,LL,LL,LOA,GRT,FUKUTOKU MARU NO. 37,7/31/2007 17:00:00,HRV,7/30/2007 15:00:00,Authorized,7/31/2012 15:00:00,7/30/2017 15:00:00,,,,,110
567231000,Fish carriers,1/6/2012 18:36:36,11/17/2014 18:39:46,SILVER SEA LINE 3,,Thailand,HSB2993,7637589,2989,101.93,460001769,11264,WCPFC,,1000378,11/25/2015 3:55:43,37869,THA,FO,Fish carriers,FO,,LOA,GRT,,,,,Authorized,4/19/2015 8:00:00,4/20/2020 8:00:00,,,,,
227409000,Trawlers,1/3/2012 8:23:21,12/17/2015 16:47:52,TALION,Bottom trawls,France,FQLZ,8732518,109,20.78,FRA000783937,ATEU0FRA00182,ICCAT,,10234,2/20/2015 4:49:16,19842,FRA,TO,Trawlers,TO,TB,LOA,GT,,,,,Authorized,12/31/2014 18:00:00,12/30/2015 18:00:00,,,,,3727
247110130,Purse seiners,3/12/2013 12:55:12,12/27/2015 19:19:14,MARIA ANTONIETTA,Purse seines,Italy,ILSA,7512167,228,49.4,ITA000008914,ATEU0ITA00368,ICCAT,,10862,5/5/2015 9:38:18,8821,ITA,SO,Seiners,SP,PS,LOA,GT,,,,,Authorized,12/31/2014 18:00:00,12/30/2015 18:00:00,,,,,960
247051930,Trawlers,9/9/2013 12:38:11,12/29/2015 8:52:29,NUOVA SANTA BARBARA I^,Bottom trawls,Italy,IQMO,,98,20.98,ITA000012922,ATEU0ITA00663,ICCAT,,11077,12/16/2014 10:44:01,9036,ITA,TO,Trawlers,TO,TB,LOA,GT,LAURA MARINA,12/31/2005 18:00:00,,,Expired,12/31/2005 15:00:00,12/30/2014 15:00:00,,,,,602
432458000,Longliners,1/1/2012 7:57:58,12/31/2015 23:45:26,KORYO MARU No.1,Drifting longlines,Japan,JJWU,9315599,741,52.6,TY1-185,IOTC007792,IOTC,,14435,2/4/2015 5:23:30,620,JPN,LO,Liners,LL,LLD,LOA,GT,KORYO MARU NO.1,7/31/2007 15:00:00,,,Authorized,2/2/2015 15:00:00,7/30/2017 15:00:00,,,,,76489
440846000,Tuna longliners,1/1/2012 7:12:02,12/31/2015 12:52:44,ORYONG NO.307,Drifting longlines,"Korea, Republic of",HLBX,8703892,384,47.21,9505009-6210006,2138,WCPFC,,20907,7/14/2015 21:38:00,866,KOR,LO,Liners,LLT,LLD,LOA,GT,NO. 307 ORYONG,8/10/2009 8:00:00,,,Authorized,12/22/2013 8:00:00,12/21/2018 8:00:00,,,,,
416000993,Tuna longliners,6/30/2013 11:44:26,9/22/2015 13:04:37,SHENG CHING CHANG NO.2,Longlines (not specified),"Taiwan, Republic of China",BJ4413,,58.6,22.6,CT4-2413,3607,WCPFC,,22372,3/10/2015 1:56:12,14099,TWN,LO,Liners,LLT,LL,LOA,GT,,,,,Authorized,3/1/2015 8:00:00,2/29/2020 8:00:00,,,,,
412371191,Longliners,1/12/2013 2:21:18,12/29/2015 20:17:34,HAI SHANG 88,,China,BZ6UY,9087788,577,49,(HU)CHUANDENG(JI)(2013)FT-200002,10567,WCPFC,,41460,11/3/2015 1:01:17,565,CHN,LO,Liners,LL,,LBP,GT,KASUGA MARU NO.8,3/30/2015 8:00:00,JPN,1/22/2013 15:00:00,Authorized,3/31/2015 8:00:00,3/30/2018 8:00:00,,,,,
412480434,Longliners,11/16/2013 10:39:39,12/23/2015 3:03:57,YUE XIA YU 90093,,China,BZXQ53,,122,26.94,(YUE)CHUANDENG(JI)(2014)LS-100002,11014,WCPFC,,41882,5/18/2015 0:43:43,36497,CHN,LO,Liners,LL,,LBP,GT,,,,,Authorized,3/31/2014 8:00:00,3/30/2017 8:00:00,,,,,
224151000,Longliners,6/7/2012 2:45:30,12/15/2013 21:26:27,Marrajero,Longlines (not specified),Spain,EEDK,8615899,196,27.31,3-VI-59942,6393,IATTC,,5301,10/27/2015 2:00:00,755,ESP,LO,Liners,LL,LL,LOA,GT,MARRAJERO,2/21/2011 3:00:00,,,Authorized,,,,,,,
271072918,Purse seiners,3/1/2013 1:24:39,12/15/2015 11:31:36,PUT��KA RE��S 1,Purse seines,Turkey,TC9281,,134.34,24,TUR001516464,AT000TUR00239,ICCAT,,8475,12/16/2014 9:21:50,7099,TUR,SO,Seiners,SP,PS,LOA,GT,BILGIN KARDESLER,2/16/2011 18:00:00,,,Expired,8/31/2012 15:00:00,8/13/2015 15:00:00,,,,,2390
263401270,Longliners,4/14/2013 14:05:03,12/28/2015 10:54:53,VILA DO INFANTE,Longlines (not specified),Portugal,CUOW7,9207259,128.5,25.4,PRT000020243,ATEU0PRT00633,ICCAT,,11401,3/19/2015 9:15:39,2062,PRT,LO,Liners,LL,LL,LOA,GT,Vila do Infante,2/19/2014 9:31:58,,,Authorized,12/31/2014 18:00:00,12/30/2015 18:00:00,,,,,1478
224716000,Tuna purse seiners,2/19/2012 19:33:44,12/17/2015 11:53:30,ELAI ALAI,Purse seines,Spain,EAIW,,2217,80,BI-2-1-93,IOTC000175,IOTC,,11561,2/17/2015 5:59:34,1663,ESP,SO,Seiners,SPT,PS,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,76659
431298000,Longliners,10/13/2015 23:06:15,12/31/2015 21:30:16,KAIYO MARU No.58,Drifting longlines,Japan,JDIS,9072783,619,49.99,AM1-714,IOTC001682,IOTC,,12502,11/9/2012 1:18:00,561,JPN,LO,Liners,LL,LLD,LOA,GT,KAIYO MARU NO.58,3/11/2009 15:00:00,,,Authorized,7/31/2012 15:00:00,7/30/2017 15:00:00,,,,,50786
224101940,Longliners,7/23/2012 1:14:12,12/31/2015 0:28:16,LOUCENZAS,Drifting longlines,Spain,EATU,,235,28.45,ESP000025883,IOTC013993,IOTC,,19681,3/30/2015 4:13:01,8189,ESP,LO,Liners,LL,LLD,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,77986
431703660,Longliners,7/11/2013 2:23:13,12/31/2015 19:54:32,Taiyo Maru No. 58,Longlines (not specified),Japan,JRII,,379,48.4,SO1-1278,4505,IATTC,,4699,3/1/2013 3:00:00,369,JPN,LO,Liners,LL,LL,LOA,GT,Fukutoku Maru No. 8,2/28/2013 3:00:00,,,Authorized,,,,,,,
271072300,Purse seiners,11/1/2012 15:00:47,12/6/2015 14:21:11,DEN��ZANA-2,Purse seines,Turkey,TC7053,,47,33.8,TUR001448786,AT000TUR00357,ICCAT,,8587,12/16/2014 9:21:51,7211,TUR,SO,Seiners,SP,PS,LOA,GT,DENIZANA-2,2/16/2011 18:00:00,,,Authorized,8/31/2012 15:00:00,8/24/2016 15:00:00,,,,,2255
247151671,Longliners,10/24/2012 11:00:37,10/29/2015 17:26:42,SALVATORE C.,Longlines (not specified),Italy,IZNT,,158,22.5,ITA000025641,ATEU0ITA00534,ICCAT,,10981,1/22/2015 9:35:15,8940,ITA,LO,Liners,LL,LL,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,900
247144910,Purse seiners,6/20/2012 21:42:05,11/13/2015 0:38:18,TRILONA,Purse seines,Italy,IUTA,7941552,87,25.9,ITA000009083,ATEU0ITA00600,ICCAT,,11026,12/16/2014 10:44:00,8985,ITA,SO,Seiners,SP,PS,LOA,GT,,,,,Expired,12/31/2005 15:00:00,12/30/2014 15:00:00,,,,,746
412270059,Longliners,10/23/2014 2:29:23,12/31/2015 20:49:22,JIN SHENG 8,Drifting longlines,China,BZVA6,,647,50,(JI)CHUAN DENG(JI)(2014)FT-200080,IOTC000841,IOTC,,11990,2/11/2015 3:34:58,1453,CHN,LO,Liners,LL,LLD,LOA,GT,FU YUAN YU 015,12/31/2009 15:00:00,,,Authorized,2/9/2015 15:00:00,,,,,,76539
416001544,Tuna longliners,9/2/2013 4:22:22,2/15/2014 19:44:36,YU SHUENN JYI NO.66,Longlines (not specified),"Taiwan, Republic of China",BK7623,,34.56,20.56,CT3-5623,3120,WCPFC,,21875,8/18/2015 2:12:08,13642,TWN,LO,Liners,LLT,LL,LOA,GT,,,,,Authorized,1/9/2013 8:00:00,1/8/2018 8:00:00,,,,,
416000466,Tuna longliners,8/7/2012 20:07:18,12/6/2015 3:50:24,HSING FA CHENG NO.10,Longlines (not specified),"Taiwan, Republic of China",BJ4464,,53.3,22.5,CT4-2464,3639,WCPFC,,22403,10/31/2015 4:31:55,14127,TWN,LO,Liners,LLT,LL,LOA,GT,,,,,Authorized,10/30/2014 8:00:00,10/29/2019 8:00:00,,,,,
